#separator:tab
#html:false
#notetype column:1
#deck column:2
Verbe fort	Allemand::Verbes irréguliers	Preisen	Pries	Hat gepriesen	Preist	Louer, vanter	
Verbe fort	Allemand::Verbes irréguliers	Raten	Riet	Hat geraten	Rät	Conseiller	
Verbe fort	Allemand::Verbes irréguliers	Reiben	Rieb	Hat gerieben	Reibt	Frotter, râper	
Verbe fort	Allemand::Verbes irréguliers	Reißen	Riss	Hat gerissen	Reißt	Déchirer, arracher	
Verbe fort	Allemand::Verbes irréguliers	Reiten	Ritt	Ist geritten	Reitet	Aller à (faire du) \text{ch}eval	
Verbe fort	Allemand::Verbes irréguliers	Riechen	Roch	Hat gerochen	Riecht	Sentir (odeur)	
Verbe fort	Allemand::Verbes irréguliers	Ringen	Rang	Hat gerungen	Ringt	Lutter	
Verbe fort	Allemand::Verbes irréguliers	Rufen	Rief	Hat gerufen	Ruft	Appeler, crier	
Verbe fort	Allemand::Verbes irréguliers	Saufen	Soff	Hat gesoffen	Säuft	Se saoûler, boire (animaux)	
Verbe fort	Allemand::Verbes irréguliers	Saugen	Sog	Hat gesogen	Saugt	Aspirer	
Verbe fort	Allemand::Verbes irréguliers	Schaffen	Schuf	Hat geschaffen	Schafft	Créer	
Verbe fort	Allemand::Verbes irréguliers	Scheiden	Schied	Hat geschieden	Scheidet	Séparer	
Verbe fort	Allemand::Verbes irréguliers	Scheinen	Schien	Hat geschienen	Scheint	Briller, luire, sembler	
Verbe fort	Allemand::Verbes irréguliers	Schieben	Schob	Hat geschoben	Schiebt	Pousser	
Verbe fort	Allemand::Verbes irréguliers	Schießen	Schoss	Hat geschossen	Schießt	Tirer (au fusil)	
Verbe fort	Allemand::Verbes irréguliers	Schlafen	Schlief	Hat geschlafen	Schläft	Dormir	
Verbe fort	Allemand::Verbes irréguliers	Schlagen	Schlug	Hat geschlagen	Schlägt	Taper, battre, frapper	
Verbe fort	Allemand::Verbes irréguliers	Schleichen	Schlich	Ist geschlichen	Schleicht	Se glisser	
Verbe fort	Allemand::Verbes irréguliers	Schließen	Schloss	Hat geschlossen	Schließt	Fermer	
Verbe fort	Allemand::Verbes irréguliers	Schmelzen	Schmolz	Ist/hat geschmolzen	Schmilzt	Fondre (ist) / Faire fondre (hat)	
Verbe fort	Allemand::Verbes irréguliers	Schneiden	Schnitt	Hat geschnitten	Schneidet	Couper	
Verbe fort	Allemand::Verbes irréguliers	Schreiben	Schrieb	Hat geschrieben	Schreibt	Écrire	
Verbe fort	Allemand::Verbes irréguliers	Schreien	Schrie	Hat geschrien	Schreit	Crier, hurler	
Verbe fort	Allemand::Verbes irréguliers	Schreiten	Schritt	Ist geschritten	Schreitet	Faire un pas, marcher (soutenu)	
Verbe fort	Allemand::Verbes irréguliers	Schweigen	Schwieg	Hat geschwiegen	Schweigt	Se taire	
Verbe fort	Allemand::Verbes irréguliers	Schwellen	Schwoll	Ist geschwollen	Schwillt	Enfler, s'amplifier	
Verbe fort	Allemand::Verbes irréguliers	Schwimmen	Schwamm	Ist geschwommen	Schwimmt	Nager, aller qqpart en nageant	
Verbe fort	Allemand::Verbes irréguliers	Schwören	Schwor	Hat geschworen	Schwört	Jurer	
Verbe fort	Allemand::Verbes irréguliers	Sehen	Sah	Hat gesehen	Sieht	Voir	
Verbe fort	Allemand::Verbes irréguliers	Singen	Sang	Hat gesungen	Singt	Chanter	
Verbe fort	Allemand::Verbes irréguliers	Sinken	Sank	Ist gesunken	Sinkt	Sombrer, baisser	
Verbe fort	Allemand::Verbes irréguliers	Sitzen	Saß	Hat gesessen	Sitzt	Être assis, posé	
Verbe fort	Allemand::Verbes irréguliers	Speien	Spie	Hat gespien	Speit	Cracher	
Verbe fort	Allemand::Verbes irréguliers	Sprechen	Sprach	Hat gesprochen	Spricht	Parler	
Verbe fort	Allemand::Verbes irréguliers	Springen	Sprang	Ist gesprungen	Springt	Sauter	
Verbe fort	Allemand::Verbes irréguliers	Stechen	Stach	Hat gestochen	Sticht	Piquer	
Verbe fort	Allemand::Verbes irréguliers	Stehen	Stand	Hat gestanden	Steht	Être debout, assis, posé	
Verbe fort	Allemand::Verbes irréguliers	Stehlen	Stahl	Hat gestohlen	Stiehlt	Voler, dérober	
Verbe fort	Allemand::Verbes irréguliers	Steigen	Stieg	Ist gestiegen	Steigt	Monter	
Verbe fort	Allemand::Verbes irréguliers	Sterben	Starb	Ist gestorben	Stirbt	Mourir	
Verbe fort	Allemand::Verbes irréguliers	Stinken	Stank	Hat gestunken	Stinkt	Puer	
Verbe fort	Allemand::Verbes irréguliers	Stoßen	Stieß	Hat/ist gestoßen	Stößt	Heurter, pousser (hat) / buter, tomber sur (ist)	
Verbe fort	Allemand::Verbes irréguliers	Streichen	Strich	Hat gestrichen	Streicht	Peindre, rayer, effleurer	
Verbe fort	Allemand::Verbes irréguliers	Streiten	Stritt	Hat gestritten	Streitet	Se disputer	
Verbe fort	Allemand::Verbes irréguliers	Tragen	Trug	Hat getragen	Trägt	Porter	
Verbe fort	Allemand::Verbes irréguliers	Treffen	Traf	Hat getroffen	Trifft	Rencontrer, toucher	
Verbe fort	Allemand::Verbes irréguliers	Treiben	Trieb	Hat getrieben	Treibt	Pousser, pratiquer, faire	
Verbe fort	Allemand::Verbes irréguliers	Treten	Trat	Hat getreten	Tritt	Poser le pied sur	
Verbe fort	Allemand::Verbes irréguliers	Trinken	Trank	Hat getrunken	Trinkt	Boire	
Verbe fort	Allemand::Verbes irréguliers	Trügen	Trog	Hat getrogen	Trügt	Être trompeur	
Verbe fort	Allemand::Verbes irréguliers	Tun	Tat	Hat getan	Tut	Faire	
Verbe fort	Allemand::Verbes irréguliers	Unterscheiden	Unterschied	Hat unterschieden	Unterscheidet	Distinguer, différencier	
Verbe fort	Allemand::Verbes irréguliers	Bergen	Barg	Hat geborgen	Birgt	Cacher	
Verbe fort	Allemand::Verbes irréguliers	Verderben	Verdarb	Hat verdorben	Verdirbt	Abîmer, gâter	
Verbe fort	Allemand::Verbes irréguliers	Vergessen	Vergaß	Hat vergessen	Vergisst	Oublier	
Verbe fort	Allemand::Verbes irréguliers	Verschlingen	Verschlang	Hat verschlungen	Verschlingt	Engloutir	
Verbe fort	Allemand::Verbes irréguliers	Verschwinden	Verschwand	Ist verschwunden	Verschwindet	Disparaître	
